School_ID,Name_of_School,"Elementary,_Middle,_or_High_School",Safety_Score,Average_Student_Attendance,ISAT_Exceeding_Reading_Percent,Community_Area_Name,Community_Area_Number,Latitude,Longitude,Ward,Crime_Count
609920,Gerald Delgado Kanoon Elementary Magnet School,ES,44.0,95.9%,6.6,SOUTH LAWNDALE,30,41.85077575,-87.70507547,24,13257
610274,James Weldon Johnson Elementary School,ES,67.0,94.7%,5.0,NORTH LAWNDALE,29,41.86183983,-87.7031756,24,13257
609954,John Milton Gregory Elementary School,ES,44.0,95.2%,19.5,EAST GARFIELD PARK,27,41.87071468,-87.71867323,24,13257
610253,Julia C Lathrop Elementary School,ES,67.0,90.5%,4.0,NORTH LAWNDALE,29,41.86119482,-87.7093241,24,13257
610240,Matthew A Henson Elementary School,ES,37.0,90.9%,1.7,NORTH LAWNDALE,29,41.86356038,-87.72158636,24,13257
610134,Nathaniel Pope Elementary School,ES,48.0,91.6%,6.8,NORTH LAWNDALE,29,41.85570712,-87.70299144,24,13257
610056,Roswell B Mason Elementary School,ES,37.0,92.4%,5.8,NORTH LAWNDALE,29,41.85685194,-87.73049117,24,13257
609991,Theodore Herzl Elementary School,ES,41.0,90.8%,3.8,NORTH LAWNDALE,29,41.86225473,-87.71825927,24,13257
610123,William Penn Elementary School,ES,78.0,91.8%,5.5,NORTH LAWNDALE,29,41.85836995,-87.72133609,24,13257
610366,Charles H Wacker Elementary School,ES,32.0,93.4%,15.9,WASHINGTON HEIGHTS,73,41.7162148,-87.6480814,21,10434
609924,Fort Dearborn Elementary School,ES,34.0,93.4%,14.1,WASHINGTON HEIGHTS,73,41.72966698,-87.65544435,21,10434
610072,Garrett A Morgan Elementary School,ES,28.0,92.0%,3.2,AUBURN GRESHAM,71,41.74124549,-87.64007166,21,10434
610298,Lenart Elementary Regional Gifted Center,ES,79.0,97.4%,86.4,CHATHAM,44,41.74715024,-87.62800231,21,10434
610369,Mahalia Jackson Elementary School,ES,38.0,92.5%,9.2,AUBURN GRESHAM,71,41.73409818,-87.64675679,21,10434
610362,Medgar Evers Elementary School,ES,27.0,94.9%,14.8,WASHINGTON HEIGHTS,73,41.7156643,-87.63926881,21,10434
610300,Oliver S Westcott Elementary School,ES,30.0,92.6%,6.0,CHATHAM,44,41.74884018,-87.63478949,21,10434
610003,Paul Cuffe Math-Science Technology Academy Elementary School,ES,51.0,93.6%,15.6,AUBURN GRESHAM,71,41.74244489,-87.65366994,21,10434
610027,Rudyard Kipling Elementary School,ES,52.0,94.7%,21.2,WASHINGTON HEIGHTS,73,41.72365391,-87.63948475,21,10434
609895,Turner-Drew Elementary Language Academy,ES,56.0,95.8%,23.2,ROSELAND,49,41.72560849,-87.6302048,21,10434
609955,Walter Q Gresham Elementary School,ES,25.0,95.5%,7.4,AUBURN GRESHAM,71,41.73891334,-87.64506169,21,10434
610032,Wendell E Green Elementary School,ES,32.0,93.9%,15.7,WASHINGTON HEIGHTS,73,41.71931953,-87.65248591,21,10434
610153,William H Ryder Math & Science Specialty Elementary School,ES,34.0,93.0%,5.6,AUBURN GRESHAM,71,41.73536767,-87.63887904,21,10434
609986,Charles R Henderson Elementary School,ES,16.0,89.2%,2.6,WEST ENGLEWOOD,67,41.79061716,-87.67192466,15,10934
609897,Charles W Earle Elementary School,ES,24.0,93.8%,5.6,WEST ENGLEWOOD,67,41.78230211,-87.66777712,15,10934
610347,Claremont Academy Elementary School,ES,36.0,92.5%,8.1,CHICAGO LAWN,66,41.77753754,-87.68108634,15,10934
610077,Donald Morrill Math & Science Elementary School,ES,28.0,93.4%,5.7,CHICAGO LAWN,66,41.78428993,-87.68851192,15,10934
609913,Elaine O Goodlow Elementary Magnet School,ES,44.0,91.6%,8.6,WEST ENGLEWOOD,67,41.78125258,-87.67555599,15,10934
610057,Fairfield Elementary Academy,ES,31.0,93.4%,4.3,CHICAGO LAWN,66,41.78086789,-87.69207758,15,10934
609898,John F Eberhart Elementary School,ES,42.0,95.3%,9.6,CHICAGO LAWN,66,41.7744471,-87.70800189,15,10934
610108,Luke O'Toole Elementary School,ES,5.0,89.2%,4.6,WEST ENGLEWOOD,67,41.77418952,-87.67513395,15,10934
610053,Marquette Elementary School,ES,15.0,93.1%,4.6,CHICAGO LAWN,66,41.77390682,-87.6970673,15,10934
610391,Robert Lindblom Math & Science Academy High School,HS,66.0,92.7%,37.6,WEST ENGLEWOOD,67,41.7820428,-87.67169858,15,10934
610521,Sir Miles Davis Magnet Elementary Academy,ES,35.0,93.0%,3.2,WEST ENGLEWOOD,67,41.77122181,-87.66656657,15,10934
610248,Chicago Academy Elementary School,ES,66.0,96.3%,30.3,DUNNING,17,41.94215439,-87.77650575,38,3825
609798,Hiram H Belding Elementary School,ES,64.0,95.0%,21.4,IRVING PARK,16,41.95890499,-87.73398223,38,3825
609810,Norman A Bridge Elementary School,ES,67.0,95.6%,18.9,DUNNING,17,41.94915063,-87.79870722,38,3825
610201,Ole A Thorp Elementary Scholastic Academy,ES,70.0,96.4%,38.7,DUNNING,17,41.94859865,-87.77764028,38,3825
610145,Peter A Reinberg Elementary School,ES,60.0,95.8%,14.7,PORTAGE PARK,15,41.94300407,-87.76894541,38,3825
610135,Portage Park Elementary School,ES,62.0,94.2%,21.1,PORTAGE PARK,15,41.9570151,-87.76100593,38,3825
610179,Washington D Smyser Elementary School,ES,55.0,95.5%,27.5,PORTAGE PARK,15,41.95889037,-87.78201198,38,3825
609949,William P Gray Elementary School,ES,57.0,95.6%,19.4,PORTAGE PARK,15,41.94878107,-87.75715297,38,3825
609899,Christian Ebinger Elementary School,ES,78.0,95.9%,40.2,EDISON PARK,9,42.00443557,-87.81116435,41,3598
609901,Edgebrook Elementary School,ES,99.0,96.9%,56.8,FOREST GLEN,12,41.99946016,-87.7618211,41,3598
610523,Edison Park Elementary School,ES,95.0,96.1%,32.6,NORWOOD PARK,10,41.99422812,-87.81380814,41,3598
609874,Everett McKinley Dirksen Elementary School,ES,44.0,95.9%,25.5,OHARE,76,41.97368728,-87.84105162,41,3598
609937,John W Garvy Elementary School,ES,60.0,95.3%,33.5,NORWOOD PARK,10,41.97635262,-87.79619832,41,3598
610099,Norwood Park Elementary School,ES,99.0,95.5%,39.0,NORWOOD PARK,10,41.98818136,-87.80299207,41,3598
610105,Oriole Park Elementary School,ES,99.0,96.5%,54.7,NORWOOD PARK,10,41.97851501,-87.81209057,41,3598
610230,Wildwood Elementary School,ES,99.0,96.2%,33.2,FOREST GLEN,12,42.00747007,-87.77837089,41,3598
609734,William Howard Taft High School,HS,61.0,89.1%,50.6,NORWOOD PARK,10,41.98298852,-87.7915383,41,3598
610104,William J Onahan Elementary School,ES,64.0,95.7%,29.6,NORWOOD PARK,10,41.99381787,-87.79308113,41,3598
610170,Columbia Explorers Elementary Academy,ES,59.0,95.4%,13.8,BRIGHTON PARK,58,41.81105689,-87.70423481,14,5384
610096,Florence Nightingale Elementary School,ES,35.0,95.6%,8.2,GAGE PARK,63,41.79774019,-87.68917624,14,5384
609958,Frank W Gunsaulus Elementary Scholastic Academy,ES,46.0,96.6%,18.1,BRIGHTON PARK,58,41.81299531,-87.69940042,14,5384
610532,Irene C. Hernandez Middle School for the Advancement of Science,MS,34.0,95.5%,9.2,GAGE PARK,63,41.79350627,-87.71139803,14,5384
609876,Nathan S Davis Elementary School,ES,43.0,95.1%,9.2,BRIGHTON PARK,58,41.8218786,-87.70022859,14,5384
609903,Richard Edwards Elementary School,ES,48.0,95.3%,11.4,ARCHER HEIGHTS,57,41.80552325,-87.72581893,14,5384
610157,Sidney Sawyer Elementary School,ES,57.0,96.8%,12.7,GAGE PARK,63,41.79752155,-87.70504311,14,5384
610249,Talman Elementary School,ES,99.0,96.2%,16.5,GAGE PARK,63,41.79407382,-87.6902983,14,5384
610004,Countee Cullen Elementary School,ES,14.0,94.1%,8.1,ROSELAND,49,41.70036107,-87.61128176,9,8993
610132,Edgar Allan Poe Elementary Classical School,ES,99.0,97.6%,79.6,PULLMAN,50,41.70261965,-87.60645552,9,8993
609800,Frank I Bennett Elementary School,ES,46.0,92.5%,8.4,ROSELAND,49,41.71041656,-87.61735342,9,8993
610139,George M Pullman Elementary School,ES,59.0,93.5%,17.8,PULLMAN,50,41.68879566,-87.60939383,9,8993
609845,George Washington Carver Primary School,ES,25.0,90.9%,8.0,RIVERDALE,54,41.65367428,-87.59952683,9,8993
609900,George W Curtis Elementary School,ES,23.0,93.8%,3.8,ROSELAND,49,41.68544575,-87.62166148,9,8993
609848,Ira F Aldridge Elementary School,ES,39.0,92.9%,7.2,RIVERDALE,54,41.65743243,-87.60649623,9,8993
610091,Ronald Brown Elementary Community Academy,ES,31.0,93.8%,12.5,WEST PULLMAN,53,41.66484509,-87.63892027,9,8993
609943,Samuel Gompers Fine Arts Options Elementary School,ES,34.0,93.6%,8.5,WEST PULLMAN,53,41.67058298,-87.62258098,9,8993
610364,William E B Dubois Elementary School,ES,47.0,93.3%,5.0,RIVERDALE,54,41.65376037,-87.61434156,9,8993
609804,Daniel Boone Elementary School,ES,52.0,95.5%,17.6,WEST RIDGE,2,42.00343519,-87.69750011,50,3595
609859,DeWitt Clinton Elementary School,ES,47.0,95.3%,21.8,WEST RIDGE,2,41.99256421,-87.69839748,50,3595
609779,George Armstrong International Studies Elementary School,ES,59.0,96.3%,19.5,WEST RIDGE,2,42.01017628,-87.68446868,50,3595
610147,Philip Rogers Elementary School,ES,81.0,96.4%,28.3,WEST RIDGE,2,42.01526618,-87.69714858,50,3595
609880,Stephen Decatur Classical Elementary School,ES,99.0,96.2%,93.6,WEST RIDGE,2,42.00930696,-87.70465502,50,3595
610191,Stone Elementary Scholastic Academy,ES,78.0,96.4%,44.7,WEST RIDGE,2,41.99536777,-87.68475636,50,3595
